Wavelength(nm)	single scattering albedo	Reflectance	Transmittance
400	0.028	0.016	0.012
401	0.028	0.016	0.012
402	0.028	0.016	0.012
403	0.028	0.016	0.012
404	0.029	0.016	0.012
405	0.029	0.016	0.013
406	0.029	0.017	0.013
407	0.030	0.017	0.013
408	0.030	0.017	0.013
409	0.030	0.017	0.013
410	0.031	0.017	0.013
411	0.031	0.018	0.013
412	0.031	0.018	0.014
413	0.032	0.018	0.014
414	0.032	0.018	0.014
415	0.032	0.018	0.014
416	0.033	0.018	0.014
417	0.033	0.019	0.014
418	0.033	0.019	0.015
419	0.034	0.019	0.015
420	0.034	0.019	0.015
421	0.034	0.019	0.015
422	0.034	0.019	0.015
423	0.034	0.019	0.015
424	0.034	0.019	0.015
425	0.034	0.019	0.015
426	0.034	0.019	0.015
427	0.034	0.019	0.015
428	0.034	0.019	0.015
429	0.035	0.019	0.015
430	0.034	0.019	0.015
431	0.034	0.019	0.015
432	0.034	0.019	0.015
433	0.034	0.019	0.015
434	0.034	0.019	0.015
435	0.034	0.019	0.015
436	0.034	0.019	0.015
437	0.034	0.019	0.015
438	0.034	0.019	0.015
439	0.035	0.019	0.015
440	0.035	0.020	0.015
441	0.035	0.020	0.015
442	0.036	0.020	0.016
443	0.036	0.020	0.016
444	0.037	0.021	0.016
445	0.037	0.021	0.016
446	0.038	0.021	0.017
447	0.039	0.022	0.017
448	0.039	0.022	0.017
449	0.040	0.023	0.018
450	0.042	0.023	0.018
451	0.043	0.024	0.019
452	0.044	0.024	0.020
453	0.045	0.025	0.020
454	0.046	0.026	0.021
455	0.048	0.026	0.021
456	0.049	0.027	0.022
457	0.050	0.028	0.022
458	0.051	0.028	0.023
459	0.052	0.029	0.023
460	0.053	0.029	0.024
461	0.054	0.030	0.024
462	0.055	0.030	0.025
463	0.055	0.030	0.025
464	0.056	0.031	0.025
465	0.057	0.031	0.026
466	0.058	0.032	0.026
467	0.058	0.032	0.026
468	0.059	0.032	0.026
469	0.059	0.033	0.027
470	0.060	0.033	0.027
471	0.060	0.033	0.027
472	0.061	0.033	0.027
473	0.061	0.033	0.028
474	0.061	0.034	0.028
475	0.062	0.034	0.028
476	0.062	0.034	0.028
477	0.062	0.034	0.028
478	0.063	0.034	0.028
479	0.063	0.034	0.028
480	0.063	0.035	0.029
481	0.064	0.035	0.029
482	0.065	0.035	0.029
483	0.065	0.036	0.030
484	0.066	0.036	0.030
485	0.067	0.037	0.031
486	0.068	0.037	0.031
487	0.070	0.038	0.032
488	0.071	0.039	0.032
489	0.073	0.040	0.033
490	0.075	0.041	0.034
491	0.077	0.042	0.035
492	0.079	0.043	0.036
493	0.081	0.044	0.037
494	0.083	0.045	0.038
495	0.086	0.046	0.040
496	0.088	0.048	0.041
497	0.091	0.049	0.042
498	0.094	0.051	0.044
499	0.098	0.052	0.045
500	0.101	0.054	0.047
501	0.105	0.056	0.049
502	0.108	0.058	0.050
503	0.112	0.060	0.052
504	0.116	0.062	0.054
505	0.121	0.064	0.057
506	0.125	0.067	0.059
507	0.130	0.069	0.061
508	0.135	0.071	0.064
509	0.140	0.074	0.066
510	0.146	0.077	0.069
511	0.151	0.080	0.072
512	0.157	0.083	0.075
513	0.164	0.086	0.078
514	0.170	0.089	0.081
515	0.176	0.092	0.084
516	0.183	0.096	0.087
517	0.190	0.099	0.091
518	0.197	0.103	0.094
519	0.204	0.106	0.098
520	0.211	0.110	0.101
521	0.218	0.114	0.105
522	0.226	0.117	0.108
523	0.233	0.121	0.112
524	0.240	0.124	0.115
525	0.246	0.128	0.119
526	0.253	0.131	0.122
527	0.259	0.134	0.125
528	0.265	0.137	0.128
529	0.271	0.140	0.131
530	0.276	0.143	0.134
531	0.281	0.145	0.136
532	0.286	0.148	0.139
533	0.291	0.150	0.141
534	0.295	0.152	0.143
535	0.299	0.154	0.145
536	0.303	0.156	0.147
537	0.306	0.158	0.148
538	0.309	0.159	0.150
539	0.312	0.161	0.151
540	0.315	0.162	0.153
541	0.318	0.164	0.154
542	0.320	0.165	0.155
543	0.323	0.166	0.157
544	0.325	0.167	0.158
545	0.327	0.168	0.159
546	0.329	0.169	0.160
547	0.332	0.171	0.161
548	0.334	0.172	0.162
549	0.336	0.173	0.163
550	0.337	0.173	0.164
551	0.339	0.174	0.165
552	0.340	0.175	0.165
553	0.341	0.175	0.166
554	0.342	0.176	0.166
555	0.342	0.176	0.166
556	0.342	0.176	0.166
557	0.341	0.175	0.166
558	0.340	0.175	0.165
559	0.338	0.174	0.164
560	0.336	0.173	0.164
561	0.334	0.172	0.162
562	0.332	0.171	0.161
563	0.329	0.169	0.160
564	0.326	0.168	0.158
565	0.323	0.166	0.157
566	0.319	0.164	0.155
567	0.315	0.162	0.153
568	0.311	0.160	0.151
569	0.307	0.158	0.149
